text,label
I love this product,positive
This is amazing,positive
Absolutely fantastic experience,positive
I am very happy with this,positive
Best purchase ever,positive
This made my day,positive
Highly recommend it,positive
Superb quality,positive
I enjoyed using this,positive
This is wonderful,positive
Very satisfied,positive
Excellent performance,positive
Works perfectly,positive
I like it a lot,positive
Great job,positive
Totally worth it,positive
Brilliant design,positive
Loved it,positive
Very useful,positive
Incredible product,positive
I hate this,negative
This is terrible,negative
Worst experience ever,negative
Very disappointing,negative
I am unhappy,negative
Not worth the money,negative
Poor quality,negative
Completely useless,negative
I regret buying this,negative
Awful product,negative
Very bad,negative
Horrible experience,negative
It broke quickly,negative
Waste of money,negative
Extremely poor,negative
Does not work,negative
Very frustrating,negative
I dislike it,negative
Terrible service,negative
Pathetic performance,negative
It is okay,neutral
Average experience,neutral
Nothing special,neutral
It works fine,neutral
Not bad,neutral
Just okay,neutral
Neutral feeling,neutral
So so product,neutral
Fair enough,neutral
No strong opinion,neutral
Mediocre quality,neutral
Neither good nor bad,neutral
It’s fine,neutral
Decent product,neutral
Average performance,neutral
Okayish experience,neutral
Satisfactory,neutral
Acceptable,neutral
Not impressive,neutral
Balanced experience,neutral
I really love this,positive
This is the best thing ever,positive
I am extremely happy,positive
Fantastic product,positive
Very good experience,positive
I am impressed,positive
Five stars,positive
Will buy again,positive
Highly satisfied,positive
Great quality,positive
This is awful,negative
I am very disappointed,negative
Worst purchase,negative
I hate it so much,negative
Very poor experience,negative
Not recommended,negative
Cheap quality,negative
Bad service,negative
Unacceptable,negative
Very annoying,negative
It’s average,neutral
Nothing great,neutral
It’s manageable,neutral
Neither here nor there,neutral
Okay product,neutral
Moderate quality,neutral
It does the job,neutral
Not too bad,neutral
Regular experience,neutral
Fine overall,neutral
Absolutely love it,positive
This is brilliant,positive
Super happy with this,positive
Very impressive,positive
Top quality,positive
Amazing results,positive
Delighted with purchase,positive
Extremely good,positive
Outstanding,positive
Perfect product,positive
Extremely bad,negative
Very poor quality,negative
Disgusting experience,negative
I am frustrated,negative
Completely disappointed,negative
Terrible results,negative
Worst service,negative
Highly dissatisfied,negative
Very bad product,negative
Not good at all,negative
Just average,neutral
Nothing to complain,neutral
Works as expected,neutral
Okay experience,neutral
Not great not bad,neutral
Typical product,neutral
Standard quality,neutral
Moderately good,neutral
Usual experience,neutral
Simple and fine,neutral

